product_id,product_name,sku,stock,price,category_name,extracted_supplier
367,PROTECTOR DE CULTIVO CLIP PLUS CAJA 10000 PZ (POPUSA),PROTECTOR-DE-CULTIVO-CLIP-PLUS-CAJA-10000-PZ-POPUS,7492,0.11,Materiales para invernadero,POPUSA
378,PROTECTOR DE CULTIVO CLIP PLUS CAJA 10000 PZ (POPUSA),PROTECTOR-DE-CULTIVO-CLIP-PLUS-CAJA-10000-PZ-POPUS-1,7492,0.11,,POPUSA
497,"Gotero netafim PCJ 2 lph (LUPIN ""LA CHOLE"")",GOTERO-NETAFIM-PCJ-2-LPH-LUPIN-LA-CHOLE,2655,0.20,,"LUPIN ""LA CHOLE"""
396,"Pija Punta Broca Galv. Cabeza Phillips de 8mmX1/2"" (Doña Paula)",PIJA-PUNTA-BROCA-GALV-CABEZA-PHILLIPS-DE-8MMX12-DO,2400,0.03,,Doña Paula
465,ACOLCHADO TRESBOLILLO A120L 1400 C80 P/N RAN2 35PZ30H 2.5 (LAMSA),ACOLCHADO-TRESBOLILLO-A120L-1400-C80-PN-RAN2-35PZ3,1150,1.09,Acolchados,LAMSA
507,GOTERO REGULABLE 60 LTS GTR CHERRY (Gestirriego),GOTERO-REGULABLE-60-LTS-GTR-CHERRY-GESTIRRIEGO,917,0.70,,Gestirriego
522,CINTILLA RO-DRIP 5MIL 1.02 LPH 20 CM 381 LAMSA 3800m (LAMSA),CINTILLA-RO-DRIP-5MIL-102-LPH-20-CM-381-LAMSA-3800,913,0.70,,LAMSA
482,Rivulis Nebulizador Rondo | 47 l/h | antigoteo + microtubo de 35 cm + peso + acoplamiento (INVERTEX),RIVULIS-NEBULIZADOR-RONDO-47-LH-ANTIGOTEO-MICROTUB,742,35.00,Equipos de Riego,INVERTEX
496,"Gotero codo corto Tipo Flecha de 14 cm, 4 mm diametro de insersion  (LUPIN ""LA CHOLE"") sin tubin",GOTERO-CODO-CORTO-TIPO-FLECHA-DE-14-CM-4-MM-DIAMET,683,0.20,,"LUPIN ""LA CHOLE"""
495,"Gotero codo corto Tipo flecha de 14 cm largo,  4 mm diametro de insersion,  Ensamblada con Tubin 3x5 blanco/negro (LUPIN ""LA CHOLE"") Estaca",GOTERO-CODO-CORTO-TIPO-FLECHA-DE-14-CM-LARGO-4-MM-,611,0.20,,"LUPIN ""LA CHOLE"""
