supplier_id,name,common_name,legal_name
51,AGRO AUTOMATIZACION E INGENIERIA DE RIEGO DE DURANGO SA DE CV,AGRO AUTOMATIZACION E INGENIERIA DE RIEGO DE DURANGO SA DE CV,AGRO AUTOMATIZACION E INGENIERIA DE RIEGO DE DURANGO SA DE CV
23,AGROSOLUCIONES ACUEDUCTO,AGROSOLUCIONES ACUEDUCTO,AGROSOLUCIONES ACUEDUCTO
87,ARTURO OLVERA GONZALEZ,ARTURO OLVERA GONZALEZ,ARTURO OLVERA GONZALEZ
35,Aceros Muñiz,Muñiz,
72,Agrokorita,Agrokorita,"AGROQUÍMICOS CORITA, S.A. DE C.V."
36,Agropecuaria La Remolacha ,La Remolacha,
9,"Agroquímicos Texcoco, S.A. DE C.V.","Agroquímicos Texcoco, S.A. DE C.V.","Agroquímicos Texcoco, S.A. DE C.V."
74,Basculas Quiñones,Basculas Quiñones,Basculas Quiñones
16,CIA MERCANTIL FERRETERA,CIA MERCANTIL FERRETERA,CIA MERCANTIL FERRETERA
13,COEL DE PUEBLA,Coel de Puebla,COEL DE PUEBLA SA DE CV
22,COMERCIALIZADORA DE AGRICULTURA PROTEGIDA TEXCOCO S DE RL DE CV,COMERCIALIZADORA DE AGRICULTURA PROTEGIDA TEXCOCO S DE RL DE CV,COMERCIALIZADORA DE AGRICULTURA PROTEGIDA TEXCOCO S DE RL DE CV
40,COMERCIALIZADORA INTEGRAL EN INSTRUMENTACION AGRICOLA,COMERCIALIZADORA INTEGRAL EN INSTRUMENTACION AGRICOLA,COMERCIALIZADORA INTEGRAL EN INSTRUMENTACION AGRICOLA
69,Cercos ElectroChoke,ElectroChoke,ElectroChoke
38,Comercializadora Marvel,Comercializadora Marvel,Comercializadora Marvel
54,DEAPSA,DEAPSA,FERNANDO GODOY DE LA TORRE
4,DIFESA,DIFESA,FERNANDA MOLINA VALLE
89,DIFESA PROMAIN SUNFORMEX,DIFESA PROMAIN SUNFORMEX,DIFESA PROMAIN SUNFORMEX
17,Distribuidora de Tubos y Conexiones,DTC DSA SA DE CV,DTC DSA SA DE CV
